ts_entry,ts_settle,side,stake,price_entry,price_settle,result,pnl,bank_before,bank_after,source_row_id
2025-10-20 23:00:00+00:00,2025-10-21 00:00:00+00:00,UP,5.0,110548.5,110495.01,LOSE,-5.0,250.0,245.0,0
2025-10-21 00:00:00+00:00,2025-10-21 01:00:00+00:00,DOWN,5.0,110743.65,110453.6,WIN,5.0,245.0,250.0,1
2025-10-21 01:00:00+00:00,2025-10-21 02:00:00+00:00,UP,5.0,110495.01,109863.18,LOSE,-5.0,250.0,245.0,2
2025-10-21 02:00:00+00:00,2025-10-21 03:00:00+00:00,UP,5.0,110453.6,109540.43,LOSE,-5.0,245.0,240.0,3
2025-10-21 03:00:00+00:00,2025-10-21 04:00:00+00:00,UP,5.0,109863.18,109022.92,LOSE,-5.0,240.0,235.0,4
2025-10-21 04:00:00+00:00,2025-10-21 05:00:00+00:00,UP,5.0,109540.43,107911.76,LOSE,-5.0,235.0,230.0,5
2025-10-21 05:00:00+00:00,2025-10-21 06:00:00+00:00,UP,5.0,109022.92,107566.33,LOSE,-5.0,230.0,225.0,6
2025-10-21 06:00:00+00:00,2025-10-21 07:00:00+00:00,UP,5.0,107911.76,107861.83,LOSE,-5.0,225.0,220.0,7
2025-10-21 07:00:00+00:00,2025-10-21 08:00:00+00:00,UP,5.0,107566.33,108042.71,WIN,5.0,220.0,225.0,8
2025-10-21 08:00:00+00:00,2025-10-21 09:00:00+00:00,UP,5.0,107861.83,107690.35,LOSE,-5.0,225.0,220.0,9
2025-10-21 09:00:00+00:00,2025-10-21 10:00:00+00:00,UP,5.0,108042.71,107753.2,LOSE,-5.0,220.0,215.0,10
2025-10-21 10:00:00+00:00,2025-10-21 11:00:00+00:00,UP,5.0,107690.35,108420.1,WIN,5.0,215.0,220.0,11
2025-10-21 11:00:00+00:00,2025-10-21 12:00:00+00:00,UP,5.0,107753.2,108580.01,WIN,5.0,220.0,225.0,12
2025-10-21 12:00:00+00:00,2025-10-21 13:00:00+00:00,DOWN,5.0,108420.1,108799.83,LOSE,-5.0,225.0,220.0,13
2025-10-21 13:00:00+00:00,2025-10-21 14:00:00+00:00,DOWN,5.0,108580.01,108495.82,WIN,5.0,220.0,225.0,14
2025-10-21 14:00:00+00:00,2025-10-21 15:00:00+00:00,DOWN,5.0,108799.83,112155.11,LOSE,-5.0,225.0,220.0,15
2025-10-21 15:00:00+00:00,2025-10-21 16:00:00+00:00,DOWN,5.0,108495.82,113441.42,LOSE,-5.0,220.0,215.0,16
2025-10-21 16:00:00+00:00,2025-10-21 17:00:00+00:00,DOWN,5.0,112155.11,112611.32,LOSE,-5.0,215.0,210.0,17
2025-10-21 17:00:00+00:00,2025-10-21 18:00:00+00:00,DOWN,5.0,113441.42,112015.23,WIN,5.0,210.0,215.0,18
2025-10-21 19:00:00+00:00,2025-10-21 20:00:00+00:00,DOWN,5.0,112015.23,111680.7,WIN,5.0,215.0,220.0,19
2025-10-21 20:00:00+00:00,2025-10-21 21:00:00+00:00,DOWN,5.0,112010.5,110707.45,WIN,5.0,220.0,225.0,20
2025-10-21 21:00:00+00:00,2025-10-21 22:00:00+00:00,DOWN,5.0,111680.7,110745.55,WIN,5.0,225.0,230.0,21
2025-10-21 21:00:00+00:00,2025-10-21 22:00:00+00:00,DOWN,5.0,111680.7,110745.55,WIN,5.0,230.0,235.0,22
2025-10-21 22:00:00+00:00,2025-10-21 23:00:00+00:00,UP,5.0,110707.45,109004.69,LOSE,-5.0,235.0,230.0,23
2025-10-22 00:00:00+00:00,2025-10-22 01:00:00+00:00,UP,5.0,109004.69,108058.73,LOSE,-5.0,230.0,225.0,24
2025-10-22 01:00:00+00:00,2025-10-22 02:00:00+00:00,UP,5.0,108243.7,108334.9,WIN,5.0,225.0,230.0,25
2025-10-22 02:00:00+00:00,2025-10-22 03:00:00+00:00,UP,5.0,108058.73,108166.8,WIN,5.0,230.0,235.0,26
2025-10-22 03:00:00+00:00,2025-10-22 04:00:00+00:00,UP,5.0,108334.9,108166.33,LOSE,-5.0,235.0,230.0,27
2025-10-22 04:00:00+00:00,2025-10-22 05:00:00+00:00,UP,5.0,108166.8,108540.0,WIN,5.0,230.0,235.0,28
2025-10-22 05:00:00+00:00,2025-10-22 06:00:00+00:00,UP,5.0,108166.33,108123.18,LOSE,-5.0,235.0,230.0,29
2025-10-22 07:00:00+00:00,2025-10-22 08:00:00+00:00,UP,5.0,108123.18,108266.67,WIN,5.0,230.0,235.0,30
2025-10-22 09:00:00+00:00,2025-10-22 10:00:00+00:00,DOWN,5.0,108266.67,107963.13,WIN,5.0,235.0,240.0,31
2025-10-22 10:00:00+00:00,2025-10-22 11:00:00+00:00,DOWN,5.0,108272.43,107680.5,WIN,5.0,240.0,245.0,32
2025-10-22 14:00:00+00:00,2025-10-22 15:00:00+00:00,DOWN,5.0,108060.48,108895.01,LOSE,-5.0,245.0,240.0,33
2025-10-22 15:00:00+00:00,2025-10-22 16:00:00+00:00,DOWN,5.0,108651.82,108393.54,WIN,5.0,240.0,245.0,34
2025-10-22 16:00:00+00:00,2025-10-22 17:00:00+00:00,DOWN,5.0,108895.01,108185.26,WIN,5.0,245.0,250.0,35
2025-10-22 17:00:00+00:00,2025-10-22 18:00:00+00:00,DOWN,5.0,108393.54,107823.73,WIN,5.0,250.0,255.0,36
2025-10-22 19:00:00+00:00,2025-10-22 20:00:00+00:00,DOWN,5.0,107823.73,107937.35,LOSE,-5.0,255.0,250.0,37
2025-10-22 20:00:00+00:00,2025-10-22 21:00:00+00:00,DOWN,5.0,108014.27,107241.99,WIN,5.0,250.0,255.0,38
2025-10-22 21:00:00+00:00,2025-10-22 22:00:00+00:00,DOWN,5.0,107937.35,107371.3,WIN,5.0,255.0,260.0,39
