datetime,p_up,p_dn,EV,kelly_raw,stake,side,target_up,payoff
2022-01-11 18:00:00+00:00,0.403772,0.596228,0.26857,0.238166,0.059541,DOWN,1,-0.059541
2022-01-11 19:00:00+00:00,0.320664,0.679336,0.445396,0.394974,0.098743,DOWN,0,0.111349
2022-01-11 20:00:00+00:00,0.426078,0.573922,0.221111,0.196079,0.04902,DOWN,0,0.055278
2022-01-11 21:00:00+00:00,0.574122,0.425878,0.08325,0.093877,0.023469,UP,1,0.020812
2022-01-11 22:00:00+00:00,0.500887,0.499113,0.0,0.0,0.0,NO_BET,1,0.0
2022-01-11 23:00:00+00:00,0.417076,0.582924,0.240265,0.213065,0.053266,DOWN,0,0.060066
2022-01-12 00:00:00+00:00,0.498684,0.501316,0.0,0.0,0.0,NO_BET,0,0.0
2022-01-12 01:00:00+00:00,0.512436,0.487564,0.0,0.0,0.0,NO_BET,0,0.0
2022-01-12 02:00:00+00:00,0.593591,0.406409,0.119984,0.135301,0.033825,UP,1,0.029996
2022-01-12 03:00:00+00:00,0.369258,0.630742,0.342003,0.303286,0.075821,DOWN,1,-0.075821
2022-01-12 04:00:00+00:00,0.467436,0.532564,0.133115,0.118046,0.029511,DOWN,1,-0.029511
2022-01-12 05:00:00+00:00,0.326089,0.673911,0.433854,0.384739,0.096185,DOWN,0,0.108464
2022-01-12 06:00:00+00:00,0.366612,0.633388,0.347634,0.308279,0.07707,DOWN,0,0.086909
2022-01-12 07:00:00+00:00,0.42675,0.57325,0.219681,0.194811,0.048703,DOWN,1,-0.048703
2022-01-12 08:00:00+00:00,0.414759,0.585241,0.245195,0.217437,0.054359,DOWN,1,-0.054359
2022-01-12 09:00:00+00:00,0.36606,0.63394,0.348808,0.309321,0.07733,DOWN,0,0.087202
2022-01-12 10:00:00+00:00,0.392708,0.607292,0.292111,0.259042,0.06476,DOWN,1,-0.06476
2022-01-12 11:00:00+00:00,0.347988,0.652012,0.38726,0.343419,0.085855,DOWN,1,-0.085855
2022-01-12 12:00:00+00:00,0.33534,0.66466,0.414171,0.367283,0.091821,DOWN,1,-0.091821
2022-01-12 13:00:00+00:00,0.45867,0.54133,0.151766,0.134585,0.033646,DOWN,0,0.037941
2022-01-12 14:00:00+00:00,0.361427,0.638573,0.358666,0.318062,0.079515,DOWN,0,0.089666
2022-01-12 15:00:00+00:00,0.578987,0.421013,0.092428,0.104228,0.026057,UP,1,0.023107
2022-01-12 16:00:00+00:00,0.432907,0.567093,0.206581,0.183195,0.045799,DOWN,1,-0.045799
2022-01-12 17:00:00+00:00,0.322296,0.677704,0.441923,0.391894,0.097973,DOWN,0,0.110481
2022-01-12 18:00:00+00:00,0.509975,0.490025,0.0,0.0,0.0,NO_BET,1,0.0
2022-01-12 19:00:00+00:00,0.457658,0.542342,0.153919,0.136495,0.034124,DOWN,1,-0.034124
2022-01-12 20:00:00+00:00,0.379494,0.620506,0.320226,0.283974,0.070993,DOWN,0,0.080056
2022-01-12 21:00:00+00:00,0.493396,0.506604,0.0,0.0,0.0,NO_BET,1,0.0
2022-01-12 22:00:00+00:00,0.342647,0.657353,0.398622,0.353495,0.088374,DOWN,1,-0.088374
2022-01-12 23:00:00+00:00,0.414992,0.585008,0.244698,0.216996,0.054249,DOWN,0,0.061174
2022-01-13 00:00:00+00:00,0.568753,0.431247,0.073119,0.082454,0.020613,UP,0,-0.020613
2022-01-13 01:00:00+00:00,0.604796,0.395204,0.141125,0.159141,0.039785,UP,1,0.035281
2022-01-13 02:00:00+00:00,0.576922,0.423078,0.088531,0.099833,0.024958,UP,0,-0.024958
2022-01-13 03:00:00+00:00,0.566096,0.433904,0.068106,0.076801,0.0192,UP,1,0.017027
2022-01-13 04:00:00+00:00,0.397825,0.602175,0.281222,0.249386,0.062346,DOWN,1,-0.062346
2022-01-13 05:00:00+00:00,0.345555,0.654445,0.392436,0.348009,0.087002,DOWN,1,-0.087002
2022-01-13 06:00:00+00:00,0.371584,0.628416,0.337055,0.298898,0.074725,DOWN,0,0.084264
2022-01-13 07:00:00+00:00,0.312233,0.687767,0.463335,0.410882,0.10272,DOWN,1,-0.10272
2022-01-13 08:00:00+00:00,0.295644,0.704356,0.498629,0.44218,0.110545,DOWN,0,0.124657
2022-01-13 09:00:00+00:00,0.323598,0.676402,0.439154,0.389438,0.09736,DOWN,0,0.109788
2022-01-13 10:00:00+00:00,0.548187,0.451813,0.034315,0.038696,0.009674,UP,0,-0.009674
2022-01-13 11:00:00+00:00,0.596721,0.403279,0.125888,0.141959,0.03549,UP,1,0.031472
2022-01-13 12:00:00+00:00,0.334135,0.665865,0.416734,0.369556,0.092389,DOWN,1,-0.092389
2022-01-13 13:00:00+00:00,0.303983,0.696017,0.480887,0.426447,0.106612,DOWN,1,-0.106612
2022-01-13 14:00:00+00:00,0.370096,0.629904,0.340221,0.301705,0.075426,DOWN,0,0.085055
2022-01-13 15:00:00+00:00,0.368036,0.631964,0.344603,0.305592,0.076398,DOWN,1,-0.076398
2022-01-13 16:00:00+00:00,0.577446,0.422554,0.089521,0.100949,0.025237,UP,0,-0.025237
2022-01-13 17:00:00+00:00,0.600245,0.399755,0.132539,0.149458,0.037365,UP,0,-0.037365
2022-01-13 18:00:00+00:00,0.650347,0.349653,0.22707,0.256057,0.064014,UP,0,-0.064014
2022-01-13 19:00:00+00:00,0.643239,0.356761,0.213659,0.240935,0.060234,UP,1,0.053415
2022-01-13 20:00:00+00:00,0.482219,0.517781,0.0,0.0,0.0,NO_BET,1,0.0
2022-01-13 21:00:00+00:00,0.464469,0.535531,0.139427,0.123643,0.030911,DOWN,0,0.034857
2022-01-13 22:00:00+00:00,0.651856,0.348144,0.229917,0.259268,0.064817,UP,0,-0.064817
2022-01-13 23:00:00+00:00,0.644895,0.355105,0.216783,0.244457,0.061114,UP,1,0.054196
2022-01-14 00:00:00+00:00,0.42686,0.57314,0.219448,0.194605,0.048651,DOWN,0,0.054862
2022-01-14 01:00:00+00:00,0.591583,0.408417,0.116194,0.131027,0.032757,UP,1,0.029048
2022-01-14 02:00:00+00:00,0.547678,0.452322,0.033356,0.037614,0.009403,UP,0,-0.009403
2022-01-14 03:00:00+00:00,0.557847,0.442153,0.052542,0.059249,0.014812,UP,1,0.013135
2022-01-14 04:00:00+00:00,0.422636,0.577364,0.228433,0.202573,0.050643,DOWN,1,-0.050643
