weekday,bets,wins,pnl,hit_rate
0,2331,1255,34.67500000000001,0.5383955383955384
1,2296,1253,65.90500000000002,0.5457317073170732
2,2303,1219,-5.184999999999989,0.5293095961788971
3,2326,1249,28.365000000000013,0.5369733447979363
4,2350,1285,72.22500000000001,0.5468085106382978
5,2330,1290,101.65,0.5536480686695279
6,2327,1282,89.57000000000001,0.5509239363987968
