pnl_total,bank_final
1221.074999999999,1471.074999999999
935.2499999999986,1185.2499999999986
1722.3749999999986,1972.3749999999986
2757.324999999998,3007.324999999998
2928.199999999999,3178.199999999999
2429.4749999999985,2679.4749999999985
1624.0999999999985,1874.0999999999985
2297.9749999999985,2547.9749999999985
1630.5749999999987,1880.5749999999987
2359.7749999999983,2609.7749999999983
2336.699999999998,2586.699999999998
1282.0749999999982,1532.0749999999982
1239.0499999999986,1489.0499999999986
1543.3249999999985,1793.3249999999985
2436.5999999999985,2686.5999999999985
2623.2249999999985,2873.2249999999985
2343.474999999998,2593.474999999998
1941.1249999999986,2191.1249999999986
1942.8499999999988,2192.8499999999985
2149.249999999998,2399.249999999998
1105.949999999999,1355.949999999999
2539.4999999999986,2789.4999999999986
2504.1999999999985,2754.1999999999985
2629.299999999998,2879.299999999998
1959.9249999999984,2209.9249999999984
924.7749999999986,1174.7749999999987
1569.3249999999987,1819.3249999999987
2191.024999999998,2441.024999999998
1872.6499999999987,2122.6499999999987
2081.3999999999987,2331.3999999999987
1176.2499999999984,1426.2499999999984
1818.9749999999985,2068.9749999999985
1179.4499999999982,1429.4499999999982
978.4999999999985,1228.4999999999986
2533.4749999999985,2783.4749999999985
1884.8249999999985,2134.8249999999985
3148.0249999999983,3398.0249999999983
2691.6249999999977,2941.6249999999977
2349.8249999999985,2599.8249999999985
1294.5999999999979,1544.5999999999979
2155.5249999999983,2405.5249999999983
2042.874999999998,2292.874999999998
1819.3249999999985,2069.3249999999985
3127.449999999999,3377.449999999999
1663.5249999999987,1913.5249999999987
1699.6499999999985,1949.6499999999985
1588.7499999999984,1838.7499999999984
2056.999999999998,2306.999999999998
1820.4999999999984,2070.499999999998
1849.8249999999985,2099.8249999999985
2071.6249999999986,2321.6249999999986
2884.3999999999983,3134.3999999999983
1856.8249999999987,2106.824999999999
503.7749999999986,753.7749999999986
1974.9249999999986,2224.9249999999984
2937.0499999999984,3187.0499999999984
2097.674999999999,2347.674999999999
1098.2249999999985,1348.2249999999985
2351.6999999999985,2601.6999999999985
1738.949999999999,1988.949999999999
1272.7499999999984,1522.7499999999984
2978.9249999999984,3228.9249999999984
1886.6749999999984,2136.6749999999984
1986.3999999999985,2236.3999999999987
1444.9499999999985,1694.9499999999985
3209.6499999999983,3459.6499999999983
1334.3999999999987,1584.3999999999987
2526.9499999999985,2776.9499999999985
1032.3249999999985,1282.3249999999985
4072.9249999999984,4322.924999999998
1525.1249999999989,1775.1249999999989
1735.5249999999983,1985.5249999999983
2064.3999999999987,2314.3999999999987
2241.2249999999985,2491.2249999999985
1861.7499999999984,2111.749999999998
2605.324999999999,2855.324999999999
2283.949999999999,2533.949999999999
2119.6499999999983,2369.6499999999983
1066.7249999999985,1316.7249999999985
1773.7499999999982,2023.7499999999982
1555.3249999999987,1805.3249999999987
3177.299999999999,3427.299999999999
2689.574999999999,2939.574999999999
2981.174999999999,3231.174999999999
1811.5999999999988,2061.5999999999985
2554.5249999999987,2804.5249999999987
3096.8499999999985,3346.8499999999985
2569.2249999999985,2819.2249999999985
1736.7749999999985,1986.7749999999985
987.6249999999985,1237.6249999999986
2203.949999999999,2453.949999999999
2670.4749999999985,2920.4749999999985
1598.499999999998,1848.499999999998
3057.4499999999985,3307.4499999999985
1532.4749999999988,1782.4749999999988
1632.3749999999986,1882.3749999999986
2515.599999999998,2765.599999999998
3056.574999999999,3306.574999999999
2320.599999999998,2570.599999999998
2019.5249999999983,2269.5249999999983
2732.124999999998,2982.124999999998
2436.9249999999984,2686.9249999999984
4129.299999999998,4379.299999999998
2944.799999999999,3194.799999999999
1088.8999999999987,1338.8999999999987
1396.9499999999985,1646.9499999999985
1772.2999999999986,2022.2999999999986
1690.5499999999988,1940.5499999999988
1681.024999999999,1931.024999999999
2075.2249999999985,2325.2249999999985
1907.6249999999989,2157.624999999999
1710.474999999998,1960.474999999998
1417.249999999999,1667.249999999999
2508.999999999998,2758.999999999998
1560.524999999999,1810.524999999999
588.5749999999987,838.5749999999987
2259.8999999999987,2509.8999999999987
2635.3249999999985,2885.3249999999985
1694.3249999999987,1944.3249999999987
2454.574999999998,2704.574999999998
1466.5999999999988,1716.5999999999988
1661.2749999999985,1911.2749999999985
1276.0999999999985,1526.0999999999985
2051.824999999999,2301.824999999999
2499.224999999998,2749.224999999998
1269.7249999999988,1519.7249999999988
2124.174999999999,2374.174999999999
2297.3999999999983,2547.3999999999983
1346.5499999999984,1596.5499999999984
929.5249999999987,1179.5249999999987
642.2999999999985,892.2999999999985
2088.499999999998,2338.499999999998
772.3249999999985,1022.3249999999985
1843.7999999999984,2093.7999999999984
1181.5249999999985,1431.5249999999985
1769.1499999999983,2019.1499999999983
1720.2499999999984,1970.2499999999984
2501.1999999999985,2751.1999999999985
2368.6999999999985,2618.6999999999985
1331.8249999999987,1581.8249999999987
1949.2999999999986,2199.2999999999984
2482.4999999999986,2732.4999999999986
3520.299999999999,3770.299999999999
3503.849999999998,3753.849999999998
2315.2999999999984,2565.2999999999984
2478.5749999999985,2728.5749999999985
2376.2999999999984,2626.2999999999984
